agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SOURCE AGENT,0,248,-265680.0,-4.666666666666667,109722.0,456.0
SOURCE AGENT,0,249,-266216.0,-1.5358166189111748,110071.0,349.0
SOURCE AGENT,0,250,-272800.0,-6.915966386554622,111023.0,952.0
SOURCE AGENT,0,251,-272659.0,0.5300751879699248,111289.0,266.0
SOURCE AGENT,0,252,-273307.0,-3.951219512195122,111453.0,164.0
SOURCE AGENT,0,253,-273884.0,-1.9828178694158076,111744.0,291.0
SOURCE AGENT,0,254,-273060.0,10.564102564102564,111822.0,78.0
SOURCE AGENT,0,255,-272238.0,10.275,111902.0,80.0
SOURCE AGENT,0,256,-275045.0,-5.188539741219963,112443.0,541.0
SOURCE AGENT,0,257,-279284.0,-4.79524886877828,113327.0,884.0
SOURCE AGENT,0,258,-279265.0,0.0657439446366782,113616.0,289.0
SOURCE AGENT,0,259,-282584.0,-7.230936819172113,114075.0,459.0
SOURCE AGENT,0,260,-283912.0,-2.0557275541795668,114721.0,646.0
SOURCE AGENT,0,261,-283586.0,1.8111111111111111,114901.0,180.0
SOURCE AGENT,0,262,-284098.0,-4.031496062992126,115028.0,127.0
SOURCE AGENT,0,263,-283824.0,1.1810344827586208,115260.0,232.0
SOURCE AGENT,0,264,-283171.0,4.3533333333333335,115410.0,150.0
SOURCE AGENT,0,265,-283303.0,-0.9230769230769231,115553.0,143.0
SOURCE AGENT,0,266,-284315.0,-7.666666666666667,115685.0,132.0
SOURCE AGENT,0,267,-283887.0,2.4180790960451977,115862.0,177.0
SOURCE AGENT,0,268,-283164.0,9.0375,115942.0,80.0
SOURCE AGENT,0,269,-283349.0,-0.6271186440677966,116237.0,295.0
SOURCE AGENT,0,270,-282651.0,6.647619047619048,116342.0,105.0
SOURCE AGENT,0,271,-283329.0,-2.3139931740614332,116635.0,293.0
SOURCE AGENT,0,272,-288122.0,-5.08271474019088,117578.0,943.0
SOURCE AGENT,0,273,-288160.0,-0.15384615384615385,117825.0,247.0
SOURCE AGENT,0,274,-288372.0,-1.7096774193548387,117949.0,124.0
SOURCE AGENT,0,275,-290085.0,-3.1958955223880596,118485.0,536.0
SOURCE AGENT,0,276,-289424.0,4.654929577464789,118627.0,142.0
SOURCE AGENT,0,277,-288752.0,5.129770992366412,118758.0,131.0
SOURCE AGENT,0,278,-288852.0,-0.24509803921568626,119166.0,408.0
SOURCE AGENT,0,279,-289784.0,-3.728,119416.0,250.0
SOURCE AGENT,0,280,-289233.0,3.6013071895424837,119569.0,153.0
SOURCE AGENT,0,281,-288526.0,7.364583333333333,119665.0,96.0
SOURCE AGENT,0,282,-287962.0,4.0285714285714285,119805.0,140.0
SOURCE AGENT,0,283,-287824.0,0.5130111524163569,120074.0,269.0
SOURCE AGENT,0,284,-287502.0,1.75,120258.0,184.0
SOURCE AGENT,0,285,-287401.0,0.9351851851851852,120366.0,108.0
SOURCE AGENT,0,286,-286568.0,12.072463768115941,120435.0,69.0
SOURCE AGENT,0,287,-286581.0,-0.05855855855855856,120657.0,222.0
SOURCE AGENT,0,288,-285884.0,6.5754716981132075,120763.0,106.0
SOURCE AGENT,0,289,-285060.0,10.564102564102564,120841.0,78.0
SOURCE AGENT,0,290,-284753.0,3.07,120941.0,100.0
SOURCE AGENT,0,291,-283920.0,12.072463768115941,121010.0,69.0
SOURCE AGENT,0,292,-283212.0,7.4526315789473685,121105.0,95.0
SOURCE AGENT,0,293,-282379.0,12.072463768115941,121174.0,69.0
SOURCE AGENT,0,294,-282101.0,1.219298245614035,121402.0,228.0
SOURCE AGENT,0,295,-282719.0,-1.4338747099767981,121833.0,431.0
