agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
TRANSFER AGENT,0,126,-810835.0,-5.805330243337196,137250.0,863.0
TRANSFER AGENT,0,127,-812551.0,-3.9,137690.0,440.0
TRANSFER AGENT,0,128,-816684.0,-4.234631147540983,138666.0,976.0
TRANSFER AGENT,0,129,-817031.0,-1.3397683397683398,138925.0,259.0
TRANSFER AGENT,0,130,-823884.0,-15.974358974358974,139354.0,429.0
TRANSFER AGENT,0,131,-831316.0,-6.7136404697380305,140461.0,1107.0
TRANSFER AGENT,0,132,-838781.0,-13.672161172161172,141007.0,546.0
TRANSFER AGENT,0,133,-842610.0,-4.966277561608301,141778.0,771.0
TRANSFER AGENT,0,134,-844915.0,-6.8601190476190474,142114.0,336.0
TRANSFER AGENT,0,135,-845144.0,-0.9541666666666667,142354.0,240.0
TRANSFER AGENT,0,136,-854309.0,-7.296974522292993,143610.0,1256.0
TRANSFER AGENT,0,137,-866162.0,-7.110377924415117,145277.0,1667.0
TRANSFER AGENT,0,138,-870402.0,-3.072463768115942,146657.0,1380.0
TRANSFER AGENT,0,139,-881162.0,-18.745644599303137,147231.0,574.0
TRANSFER AGENT,0,140,-888489.0,-3.200961118392311,149520.0,2289.0
TRANSFER AGENT,0,141,-889621.0,-4.492063492063492,149772.0,252.0
TRANSFER AGENT,0,142,-902794.0,-6.940463645943098,151670.0,1898.0
TRANSFER AGENT,0,143,-907414.0,-5.3164556962025316,152539.0,869.0
TRANSFER AGENT,0,144,-908089.0,-1.7352185089974292,152928.0,389.0
TRANSFER AGENT,0,145,-911695.0,-6.58029197080292,153476.0,548.0
TRANSFER AGENT,0,146,-916804.0,-4.057982525814138,154735.0,1259.0
TRANSFER AGENT,0,147,-916414.0,1.813953488372093,154950.0,215.0
TRANSFER AGENT,0,148,-920354.0,-5.760233918128655,155634.0,684.0
TRANSFER AGENT,0,149,-925730.0,-5.214354995150339,156665.0,1031.0
TRANSFER AGENT,0,150,-925130.0,5.769230769230769,156769.0,104.0
TRANSFER AGENT,0,151,-928869.0,-3.179421768707483,157945.0,1176.0
TRANSFER AGENT,0,152,-930728.0,-4.828571428571428,158330.0,385.0
TRANSFER AGENT,0,153,-930057.0,5.083333333333333,158462.0,132.0
TRANSFER AGENT,0,154,-929518.0,3.2666666666666666,158627.0,165.0
TRANSFER AGENT,0,155,-932023.0,-5.732265446224257,159064.0,437.0
TRANSFER AGENT,0,156,-934854.0,-6.075107296137339,159530.0,466.0
TRANSFER AGENT,0,157,-935121.0,-0.960431654676259,159808.0,278.0
TRANSFER AGENT,0,158,-952064.0,-8.889296956977965,161714.0,1906.0
TRANSFER AGENT,0,159,-956099.0,-3.4340425531914893,162889.0,1175.0
TRANSFER AGENT,0,160,-972969.0,-5.7734428473648185,165811.0,2922.0
TRANSFER AGENT,0,161,-973970.0,-1.9361702127659575,166328.0,517.0
TRANSFER AGENT,0,162,-973270.0,6.796116504854369,166431.0,103.0
TRANSFER AGENT,0,163,-977142.0,-6.285714285714286,167047.0,616.0
TRANSFER AGENT,0,164,-978704.0,-3.227272727272727,167531.0,484.0
TRANSFER AGENT,0,165,-980218.0,-3.4724770642201834,167967.0,436.0
TRANSFER AGENT,0,166,-981759.0,-2.0276315789473682,168727.0,760.0
TRANSFER AGENT,0,167,-993378.0,-6.352651722252597,170556.0,1829.0
TRANSFER AGENT,0,168,-993418.0,-0.11494252873563218,170904.0,348.0
TRANSFER AGENT,0,169,-1000774.0,-5.985353946297803,172133.0,1229.0
TRANSFER AGENT,0,170,-1005874.0,-19.615384615384617,172393.0,260.0
TRANSFER AGENT,0,171,-1009759.0,-5.336538461538462,173121.0,728.0
TRANSFER AGENT,0,172,-1012499.0,-2.5655430711610485,174189.0,1068.0
TRANSFER AGENT,0,173,-1012845.0,-0.969187675070028,174546.0,357.0
TRANSFER AGENT,0,174,-1012882.0,-0.1072463768115942,174891.0,345.0
TRANSFER AGENT,0,175,-1017734.0,-11.892156862745098,175299.0,408.0
